,0,score,known
0,PTGS2,0.9812685653280864,0
1,HMOX1,0.9763528767045502,0
3,NOS2,0.9658626571619716,0
4,POR,0.9654227852297724,0
7,FMO5,0.9642734573221672,0
8,LTC4S,0.9625945426524496,0
10,CYB5A,0.9618864180041764,0
12,FABP1,0.9591788543498432,0
13,BLVRA,0.9588311635160296,0
15,SLC27A5,0.9558556567016095,0
17,VKORC1,0.9545472390702124,0
18,ALOX5,0.9529311510900124,0
20,GPX8,0.9508111683693624,0
21,CYP4A11,0.9475865683846276,0
23,IDO1,0.9455219060828616,0
28,BBOX1,0.9425923318483388,0
29,FABP9,0.9419810403733782,0
30,ARNT2,0.9418133158199355,0
31,GPX7,0.940538472851543,0
32,HPGDS,0.9399090795440702,0
33,GSTA2,0.9397003136335076,0
